Team,CONCACAF,CONMEBOL,UEFA,CAF,AFC,OFC,Total
Afghanistan,1,0,0,0,0,3,4
Albania,66,24,6,26,60,62,244
Algeria,94,70,49,74,93,91,471
AmericanSamoa,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,1,1
Angola,31,4,2,6,11,44,98
Anguilla,0,0,0,0,0,0,0
Antigua&Barbuda,0,0,0,0,0,1,1
Argentina,100,100,99,100,100,98,597
Armenia,17,1,0,2,7,42,69
Aruba,0,0,0,0,0,4,4
Australia,91,66,47,72,95,92,463
Austria,89,77,73,82,96,87,504
Azerbaijan,9,0,0,1,4,32,46
Bahamas,0,0,0,0,0,0,0
Bahrain,17,0,1,1,4,29,52
Bangladesh,0,0,0,0,0,3,3
Barbados,0,0,0,0,0,2,2
Belarus,9,0,1,1,2,25,38
Belgium,100,98,86,90,100,94,568
Belize,0,0,0,0,0,0,0
Benin,27,2,0,1,14,42,86
Bermuda,0,0,0,0,0,11,11
Bhutan,0,0,0,0,0,0,0
Bolivia,41,8,5,16,31,52,153
Bosnia,65,24,20,34,66,66,275
Botswana,10,0,1,1,6,26,44
Brazil,99,100,94,98,100,97,588
BritishVirginIslands,0,0,0,0,0,0,0
Brunei,0,0,0,0,0,0,0
Bulgaria,22,3,1,3,11,30,70
BurkinaFaso,66,17,9,28,68,67,255
Burundi,9,0,1,1,2,32,45
Cambodia,0,0,0,0,0,2,2
Cameroon,86,69,28,56,88,80,407
Canada,100,139,125,164,177,182,887
CapeVerde,37,11,3,9,18,53,131
CaymanIslands,0,0,0,0,0,0,0
CentralAfricanRepublic,1,0,0,0,2,25,28
Chad,2,0,0,0,0,12,14
Chile,64,16,5,41,67,60,253
China,17,2,0,5,7,38,69
ChineseTaipei,0,0,0,0,0,0,0
Colombia,97,100,88,92,100,93,570
Comoros,13,1,0,1,5,40,60
Congo,15,1,1,1,4,29,51
CookIslands,0,0,0,0,0,0,0
CostaRica,64,16,4,30,49,61,224
Croatia,98,95,88,91,100,96,568
Cuba,1,0,0,0,0,15,16
Curacao,22,2,1,3,13,39,80
Cyprus,13,0,0,0,6,43,62
CzechRepublic,86,44,36,63,85,76,390
Denmark,96,85,72,86,97,89,525
Djibouti,0,0,0,0,0,6,6
Dominica,0,0,0,0,0,1,1
DominicanRepublic,1,0,0,0,1,16,18
DRCongo,75,47,19,68,83,66,358
Ecuador,98,98,72,95,100,96,559
Egypt,87,76,41,83,93,90,470
ElSalvador,11,0,1,2,4,34,52
England,98,100,95,99,100,100,592
EquatorialGuinea,27,1,0,3,13,41,85
Eritrea,0,0,0,0,0,7,7
Estonia,8,0,0,2,4,25,39
Eswatini,1,0,0,0,0,18,19
Ethiopia,3,0,1,1,0,18,23
FaroeIslands,2,0,1,0,1,14,18
Fiji,0,0,0,0,0,2,2
Finland,52,7,5,8,33,51,156
France,100,100,97,98,100,98,593
Gabon,56,18,10,19,57,66,226
Gambia,16,2,3,3,4,45,73
Georgia,30,1,1,3,22,34,91
Germany,99,100,98,98,99,99,593
Ghana,76,51,20,32,81,79,339
Gibraltar,0,0,0,0,0,1,1
Greece,68,25,18,43,65,74,293
Grenada,0,0,0,0,0,3,3
Guam,0,0,0,0,0,0,0
Guatemala,19,0,1,1,11,45,77
Guinea,52,10,7,14,37,54,174
GuineaBissau,14,2,0,1,6,33,56
Guyana,1,0,0,0,0,20,21
Haiti,23,0,1,6,14,41,85
Honduras,48,7,7,4,25,41,132
HongKong,0,0,0,0,0,9,9
Hungary,79,48,22,61,87,78,375
Iceland,46,3,3,11,39,60,162
India,0,0,0,0,0,9,9
Indonesia,8,1,0,2,6,29,46
Iraq,54,13,9,21,56,61,214
Iran,95,82,68,83,95,90,513
Ireland,68,29,9,19,58,65,248
Italy,99,99,89,95,100,96,578
IvoryCoast,92,94,46,82,97,86,497
Jamaica,59,5,2,8,38,58,170
Japan,95,86,65,86,97,93,522
Jordan,60,14,2,15,56,62,209
Kazakhstan,11,0,0,3,5,24,43
Kenya,10,2,1,3,1,40,57
Kosovo,32,5,1,3,21,52,114
Kuwait,8,1,1,1,3,21,35
Kyrgyzstan,2,0,2,0,1,18,23
Laos,0,0,0,0,0,0,0
Latvia,8,0,2,0,4,24,38
Lebanon,3,1,1,1,0,36,42
Lesotho,0,0,0,0,3,17,20
Liberia,6,1,2,0,2,31,42
Libya,20,0,0,3,3,28,54
Liechtenstein,0,0,0,0,0,1,1
Lithuania,12,0,0,0,3,31,46
Luxembourg,2,0,0,0,2,28,32
Macau,0,0,0,0,0,1,1
Madagascar,11,4,1,1,5,33,55
Malawi,13,0,0,1,4,26,44
Malaysia,2,0,0,0,2,20,24
Maldives,0,0,0,0,0,0,0
Mali,77,37,20,57,78,66,335
Malta,1,0,0,0,0,8,9
Mauritania,14,0,1,2,12,38,67
Mauritius,0,0,0,0,0,7,7
Mexico,100,174,169,179,194,188,1004
Moldova,3,0,1,0,0,17,21
Mongolia,0,0,0,0,0,0,0
Montenegro,24,0,1,5,7,36,73
Montserrat,0,0,0,0,0,1,1
Morocco,95,92,79,90,97,92,545
Mozambique,22,5,2,2,10,40,81
Myanmar,0,0,0,0,0,2,2
Namibia,17,0,1,3,7,35,63
Nepal,0,0,0,0,0,0,0
Netherlands,99,100,91,99,100,96,585
NewCaledonia,0,0,0,0,0,7,7
NewZealand,59,10,5,16,40,88,218
Nicaragua,2,0,0,0,0,24,26
Niger,12,0,0,1,3,35,51
Nigeria,95,81,52,79,98,85,490
NorthKorea,7,0,1,0,3,26,37
NorthMacedonia,38,3,8,7,24,52,132
NorthernIreland,45,9,4,11,25,57,151
Norway,90,76,56,80,94,86,482
Oman,30,3,2,5,20,39,99
Pakistan,0,0,0,0,0,3,3
Palestine,17,2,0,2,11,35,67
Panama,63,17,16,33,57,68,254
PapuaNewGuinea,0,0,0,0,0,2,2
Paraguay,82,74,35,69,94,87,441
Peru,68,28,7,29,71,59,262
Philippines,4,0,0,0,0,21,25
Poland,95,81,48,75,92,87,478
Portugal,99,100,98,98,100,98,593
PuertoRico,0,0,0,0,0,10,10
Qatar,62,25,5,33,63,59,247
Romania,84,33,11,57,83,60,328
Russia,87,63,45,76,92,88,451
Rwanda,11,0,0,1,3,25,40
Samoa,0,0,0,0,0,0,0
SaoTome&Principe,0,0,0,0,0,1,1
SanMarino,0,0,0,0,0,4,4
SaudiArabia,66,20,10,19,77,78,270
Scotland,86,62,29,63,85,69,394
Senegal,93,89,80,92,100,91,545
Serbia,91,86,49,85,96,81,488
Seychelles,0,0,0,0,0,0,0
SierraLeone,19,2,1,0,6,27,55
Singapore,0,0,0,0,0,10,10
Slovakia,81,56,28,69,88,82,404
Slovenia,69,23,13,51,60,65,281
SolomonIslands,0,0,0,0,0,3,3
Somalia,0,0,0,0,0,12,12
SouthAfrica,84,35,19,42,77,66,323
SouthKorea,90,61,56,72,96,90,465
SouthSudan,0,0,0,0,0,13,13
Spain,100,100,99,99,100,98,596
SriLanka,0,0,0,0,0,3,3
StKitts&Nevis,0,0,0,0,0,8,8
StLucia,0,0,0,0,0,3,3
StVincent&Grenadines,0,0,0,0,0,7,7
Sudan,16,0,0,2,5,32,55
Suriname,18,0,0,0,2,33,53
Sweden,87,80,52,74,91,82,466
Switzerland,96,95,81,85,99,92,548
Syria,19,3,0,4,7,40,73
Tahiti,0,0,0,0,0,4,4
Tajikistan,13,1,0,0,2,24,40
Tanzania,13,0,2,5,11,33,64
Thailand,3,0,0,0,2,18,23
TimorLeste,0,0,0,0,0,2,2
Togo,5,0,0,1,3,33,42
Tonga,0,0,0,0,0,0,0
Trinidad&Tobago,8,0,0,0,3,24,35
Tunisia,90,72,46,73,92,82,455
Turkmenistan,2,0,0,0,0,15,17
Turks&CaicosIslands,0,0,0,0,0,0,0
Turkey,97,82,60,82,96,96,513
Uganda,24,2,0,4,11,43,84
Ukraine,87,63,44,73,91,90,448
UAE,49,7,3,13,42,55,169
USA,100,184,167,188,198,189,1026
USVirginIslands,0,0,0,0,0,0,0
Uruguay,95,100,89,92,100,96,572
Uzbekistan,76,26,13,50,78,69,312
Vanuatu,0,0,0,0,0,0,0
Venezuela,74,29,15,52,82,78,330
Vietnam,10,0,1,0,0,18,29
Wales,87,38,26,56,87,76,370
Yemen,0,0,0,0,0,13,13
Zambia,30,3,1,2,15,35,86
Zimbabwe,19,2,2,2,9,40,74
